"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MACO2 removal",0.00107692
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MDCO2 removal",0.00118928
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MDairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MECO2 removal",0.189366
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MEairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MICO2 removal",0.00124094
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MIairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MNCO2 removal",0.00126607
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MNairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MOCO2 removal",0.00122849
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MOairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MSCO2 removal",0.0012799
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MSairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MTCO2 removal",0.00134451
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"MTairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NCCO2 removal",0.00127991
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NCairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NDCO2 removal",0.00126605
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NDairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NECO2 removal",0.00126599
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NEairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NHCO2 removal",0.00107692
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NHairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NJCO2 removal",0.00118928
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NJairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NMCO2 removal",0.00137795
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NMairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NVCO2 removal",0.00134339
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NVairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NYCO2 removal",0.00116171
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"NYairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"OHCO2 removal",0.00124094
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"OHairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"OKCO2 removal",0.00136977
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"OKairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ORCO2 removal",0.0013403
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ORairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"PACO2 removal",0.00119157
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"PAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"RICO2 removal",0.00107692
